Index	Vertex	feature	normal		position		member	gl_Position				member_1			
88	29	1	-1903	-3626	 2460	 2336	 0.000000	-0.943435	-0.884772	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
89	32	1	-3817	-1484	 2438	 2360	 0.000000	-0.947262	-0.891051	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
90	31	1	 956	-3982	 3195	 2355	 0.000000	-0.828010	-0.889117	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
91	32	1	-3817	-1484	 2438	 2360	 0.000000	-0.947262	-0.891051	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
92	34	1	-2896	-2896	 2438	 2387	 0.000000	-0.947075	-0.896948	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
93	30	1	 780	-4020	 3260	 2342	 0.000000	-0.817889	-0.886058	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
94	31	1	 956	-3982	 3195	 2355	 0.000000	-0.828010	-0.889117	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
95	35	1	 1482	-3818	 3359	 2407	 0.000000	-0.802278	-0.901354	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
96	31	1	 956	-3982	 3195	 2355	 0.000000	-0.828010	-0.889117	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
97	34	1	-2896	-2896	 2438	 2387	 0.000000	-0.947075	-0.896948	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
98	35	1	 1482	-3818	 3359	 2407	 0.000000	-0.802278	-0.901354	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
99	34	1	-2896	-2896	 2438	 2387	 0.000000	-0.947075	-0.896948	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
100	33	1	-1711	-3721	 2417	 2387	 0.000000	-0.950115	-0.896696	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
101	35	1	 1482	-3818	 3359	 2407	 0.000000	-0.802278	-0.901354	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
102	35	1	 1482	-3818	 3359	 2407	 0.000000	-0.802278	-0.901354	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
